complaint,category
Neighbor keeping loud motorbike repair activity at home,Neighbor / Community Issues
Neighbor creating conflict over shared electricity meter,Neighbor / Community Issues
Garbage not disposed properly causing issues,Public Nuisance / Cleanliness
Speeding car near pedestrian crossing,traffic issues
Neighbor installing loud speaker system causing disturbance,Neighbor / Community Issues
Garbage dumped irresponsibly,Public Nuisance / Cleanliness
Road blocked due to vehicle fire,traffic issues
Accident caused by careless driving,traffic issues
Waste blocking small roads,Public Nuisance / Cleanliness
Car accident due to sudden lane change,traffic issues
Neighbor holding frequent loud karaoke sessions late at night,Neighbor / Community Issues
Garbage causing water contamination,Public Nuisance / Cleanliness
Unauthorized vehicle entry into restricted area,traffic issues
Neighbor making threats during neighborhood dispute,Neighbor / Community Issues
Traffic congestion due to illegal parking,traffic issues
Car parked illegally near curve,traffic issues
Motorbike riding on footpath,traffic issues
Road blocked due to fallen tree,traffic issues
Neighbor refusing to reduce noise despite repeated requests,Neighbor / Community Issues
Neighbor throwing garbage into my drainage line,Neighbor / Community Issues
Bad smell coming from open garbage dump,Public Nuisance / Cleanliness
Car parked blocking driveway entrance,traffic issues
Neighbor using abusive language during neighborhood meetings,Neighbor / Community Issues
Neighbor causing conflict over waste disposal responsibilities,Neighbor / Community Issues
Motorbike performing stunts on road,traffic issues
Neighbor parked their vehicle infront of my house for two days with getting permission from me,Neighbor / Community Issues
Neighbor illegally extending fence into my land,Neighbor / Community Issues
Waste disposal issues causing pollution,Public Nuisance / Cleanliness
Garbage scattered due to wind,Public Nuisance / Cleanliness
The roadside is filled with litter and not cleaned for days,Public Nuisance / Cleanliness
Repeated harassment and verbal abuse from next-door resident,Neighbor / Community Issues
Driver overtaking in dangerous curve,traffic issues
Neighbor throwing stones at stray animals near my home,Neighbor / Community Issues
Vehicle parked double line causing obstruction,traffic issues
Improper waste disposal by residents,Public Nuisance / Cleanliness
Vehicle blocking bus stop area,traffic issues
Neighbor using loud horn repeatedly in residential area,Neighbor / Community Issues
Public dustbins not cleaned regularly,Public Nuisance / Cleanliness
Neighbor blocking sunlight by illegal construction,Neighbor / Community Issues
Car overtaking dangerously near bend,traffic issues
Trash left on roadsides overnight,Public Nuisance / Cleanliness
Littering problem near market area,Public Nuisance / Cleanliness
Neighbor constructing wall encroaching my land,Neighbor / Community Issues
Neighbor interfering in children’s activities causing conflict,Neighbor / Community Issues
Waste dumped behind houses causing hygiene issues,Public Nuisance / Cleanliness
Vehicle breakdown blocking busy road,traffic issues
Neighbor parking vehicle in front of my gate blocking exit,Neighbor / Community Issues
Traffic jam due to market day crowd,traffic issues
Drainage of neighbor overflowing into my property,Neighbor / Community Issues
Neighbor refusing to share agreed boundary maintenance cost,Neighbor / Community Issues
Waste thrown into public spaces,Public Nuisance / Cleanliness
Neighbor creating disputes over shared garbage disposal area,Neighbor / Community Issues
Dirty environment around residential buildings,Public Nuisance / Cleanliness
Illegal parking blocking entrance to hospital,traffic issues
Car accident involving pedestrian,traffic issues
Vehicle blocking pedestrian crossing,traffic issues
Public garbage bins are overflowing and not being cleared,Public Nuisance / Cleanliness
Motorbike ignoring traffic signals,traffic issues
Improper waste disposal causing bad smell,Public Nuisance / Cleanliness
Continuous barking of dog of neighbor disturbing peace,Neighbor / Community Issues
Garbage dumped near water supply area,Public Nuisance / Cleanliness
Neighbor keeping loud machinery operating at home,Neighbor / Community Issues
Neighbor repeatedly creating conflict over shared resources,Neighbor / Community Issues
Waste thrown in front of homes,Public Nuisance / Cleanliness
Neighbor refusing to stop disturbing behavior after warnings,Neighbor / Community Issues
Uncollected trash causing mosquito breeding,Public Nuisance / Cleanliness
Motorbike parked on pedestrian path,traffic issues
Residents are disposing trash improperly on the street,Public Nuisance / Cleanliness
Neighbor engaging in loud phone conversations outside daily,Neighbor / Community Issues
Garbage scattered around public areas,Public Nuisance / Cleanliness
Neighbor refusing to cooperate in community dispute resolution,Neighbor / Community Issues
Traffic congestion due to road accident clearance delay,traffic issues
Waste container not emptied for days,Public Nuisance / Cleanliness
Lack of proper garbage disposal system,Public Nuisance / Cleanliness
Garbage not removed on time,Public Nuisance / Cleanliness
Traffic jam caused by lane closure,traffic issues
Driver not giving way to emergency vehicle,traffic issues
Vehicle blocking intersection box junction,traffic issues
Neighbor installing illegal extension blocking common pathway,Neighbor / Community Issues
Car parked on sidewalk,traffic issues
Waste scattered due to lack of bins,Public Nuisance / Cleanliness
Neighbor causing obstruction by storing materials on shared road,Neighbor / Community Issues
Unhygienic waste disposal practices,Public Nuisance / Cleanliness
Driver ran red light at intersection,traffic issues
Dirty roadside with litter everywhere,Public Nuisance / Cleanliness
Neighbor throwing waste into my compound,Neighbor / Community Issues
Motorbike speeding through traffic lights,traffic issues
Waste dumped illegally at night,Public Nuisance / Cleanliness
Stray animals from neighbor entering my garden and damaging plants,Neighbor / Community Issues
Person from next house loitering near my property,Neighbor / Community Issues
Truck driver not maintaining safe distance,traffic issues
Neighbor refusing to stop loud music despite complaints,Neighbor / Community Issues
Vehicle blocking school entrance,traffic issues
Driver not wearing seatbelt causing violation,traffic issues
Dirty surroundings due to garbage dumping,Public Nuisance / Cleanliness
Driver causing collision by sudden stop,traffic issues
Garbage not removed from public place,Public Nuisance / Cleanliness
Someone keeps leaving garbage bags in front of my gate,Public Nuisance / Cleanliness
Argument between neighbors causing disturbance,Neighbor / Community Issues
Neighbor causing disturbance by repairing vehicles at night,Neighbor / Community Issues
Trash dumped near residential gates,Public Nuisance / Cleanliness
Bus blocking emergency lane,traffic issues
Neighbors playing music with high volume,Neighbor / Community Issues
Car speeding through residential lane,traffic issues
Garbage dumped near playground,Public Nuisance / Cleanliness
Trash scattered near marketplaces,Public Nuisance / Cleanliness
Road accident involving multiple vehicles,traffic issues
Street full of garbage due to no cleaning,Public Nuisance / Cleanliness
Plastic bottles and bags littering public area,Public Nuisance / Cleanliness
Neighbor intentionally blocking rainwater flow causing flooding,Neighbor / Community Issues
Improper waste handling by local vendors,Public Nuisance / Cleanliness
Motorbike speeding dangerously on the road,traffic issues
Neighbor cutting trees on shared boundary without permission,Neighbor / Community Issues
Neighbor refusing to stop smoke from outdoor cooking affecting others,Neighbor / Community Issues
Driver running red light,traffic issues
Waste burning causing pollution,Public Nuisance / Cleanliness
Heavy vehicle blocking narrow street,traffic issues
Trash not cleared from public areas,Public Nuisance / Cleanliness
Road accident due to slippery surface,traffic issues
Traffic congestion due to road construction,traffic issues
Waste disposal creating environmental pollution,Public Nuisance / Cleanliness
Trash dumped illegally near roads,Public Nuisance / Cleanliness
Traffic congestion near bus terminal,traffic issues
Dirty canal filled with plastic waste,Public Nuisance / Cleanliness
Garbage accumulation causing health risks,Public Nuisance / Cleanliness
Uncollected garbage attracting insects,Public Nuisance / Cleanliness
Neighbor burning leaves causing smoke entering my house,Neighbor / Community Issues
Dirty roads due to garbage accumulation,Public Nuisance / Cleanliness
Frequent shouting and arguments between neighbors at night,Neighbor / Community Issues
Vehicle parked on highway,traffic issues
Neighbor spreading toxic smoke from burning materials,Neighbor / Community Issues
Accident caused by tire burst,traffic issues
Motorbike riding against traffic direction,traffic issues
Neighbor interfering in peaceful neighborhood environment,Neighbor / Community Issues
Waste piled up near road junction,Public Nuisance / Cleanliness
Unclean public area with litter everywhere,Public Nuisance / Cleanliness
Plastic waste dumped near river banks,Public Nuisance / Cleanliness
Motorbike doing wheelie on public road,traffic issues
Neighbor interfering with postal deliveries mistakenly,Neighbor / Community Issues
People are dumping household garbage illegally near my property,Public Nuisance / Cleanliness
Traffic jam due to VIP convoy movement,traffic issues
Neighbor keeping aggressive dogs without proper fencing,Neighbor / Community Issues
Neighbor refusing to maintain cleanliness of shared area,Neighbor / Community Issues
People are dumping construction waste on the roadside,Public Nuisance / Cleanliness
People are shouting loudly in the street every evening,Neighbor / Community Issues
Car honking continuously,traffic issues
Neighbor burning garbage causing smoke pollution,Neighbor / Community Issues
Children of my neighbor damaging my property repeatedly,Neighbor / Community Issues
Waste burning causing heavy smoke,Public Nuisance / Cleanliness
Driver using high beam causing visibility issues,traffic issues
Waste dumped near public utilities,Public Nuisance / Cleanliness
Neighbor throwing broken glass near boundary causing danger,Neighbor / Community Issues
Traffic congestion due to school dismissal time,traffic issues
Reckless overtaking on narrow road,traffic issues
Car parked in front of gate blocking exit,traffic issues
Neighbor occupying shared land for personal storage,Neighbor / Community Issues
Street filled with garbage due to neglect,Public Nuisance / Cleanliness
Accident caused by sudden pedestrian crossing,traffic issues
Neighbor parking motorbike blocking my gate regularly,Neighbor / Community Issues
Neighbor altering boundary fence without mutual agreement,Neighbor / Community Issues
Traffic signal not working at junction,traffic issues
Neighbor engaging in frequent fights with multiple households,Neighbor / Community Issues
Garbage bags left in front of my house,Public Nuisance / Cleanliness
Illegal U-turn causing traffic disruption,traffic issues
Neighbor keeping noisy birds causing early morning disturbance,Neighbor / Community Issues
Waste dumped in front of shops,Public Nuisance / Cleanliness
Dirty surroundings due to garbage accumulation,Public Nuisance / Cleanliness
Waste blocking pedestrian path,Public Nuisance / Cleanliness
Bus stopping in the middle of the road,traffic issues
Truck parked in no parking zone,traffic issues
Neighbor blocking access by placing materials on shared road,Neighbor / Community Issues
Pet dog of neighbor attacking people passing by,Neighbor / Community Issues
Garbage creating unhealthy conditions,Public Nuisance / Cleanliness
Waste materials thrown on roadside,Public Nuisance / Cleanliness
Litter around public park,Public Nuisance / Cleanliness
Waste not collected for several days,Public Nuisance / Cleanliness
Motorbike riding without headlights at night,traffic issues
Bus speeding on highway,traffic issues
Dirty public toilets causing hygiene issues,Public Nuisance / Cleanliness
Neighbor operating small workshop causing continuous noise pollution,Neighbor / Community Issues
Neighbor spreading rumors causing community conflict,Neighbor / Community Issues
Waste not collected leading to pollution,Public Nuisance / Cleanliness
Neighbor refusing to cooperate in waste disposal arrangements,Neighbor / Community Issues
Neighbor creating tension by spreading false accusations,Neighbor / Community Issues
Vehicle speeding near hospital zone,traffic issues
Neighbor installing barbed wire extending into shared boundary,Neighbor / Community Issues
Driver not following lane discipline,traffic issues
Neighbor refusing to reduce noise from home celebrations,Neighbor / Community Issues
Waste not disposed in designated areas,Public Nuisance / Cleanliness
Neighbor refusing to reduce brightness of outdoor lights at night,Neighbor / Community Issues
Vehicle speeding in school zone,traffic issues
Traffic jam caused by funeral procession,traffic issues
Neighbor blocking pathway with construction waste materials,Neighbor / Community Issues
Neighbor allowing children to damage shared property walls,Neighbor / Community Issues
Accident caused due to careless driving,traffic issues
Neighbor hosting unauthorized gatherings in common area,Neighbor / Community Issues
Neighbor threatening verbally during land boundary discussions,Neighbor / Community Issues
Unclean public areas affecting hygiene,Public Nuisance / Cleanliness
Continuous construction noise early morning,Neighbor / Community Issues
Motorbike carrying unsafe load,traffic issues
Neighbor spreading false rumors in the community about my family,Neighbor / Community Issues
Garbage heap attracting stray animals,Public Nuisance / Cleanliness
Neighbor setting up loud speaker for personal announcements frequently,Neighbor / Community Issues
Trash is scattered all over the market area after closing time,Public Nuisance / Cleanliness
Waste dumped in front of houses repeatedly,Public Nuisance / Cleanliness
Trash spread across public pathways,Public Nuisance / Cleanliness
Waste causing blockage in public drains,Public Nuisance / Cleanliness
Road blockage due to sand delivery truck,traffic issues
Road blocked due to fallen branches,traffic issues
Motorbike entering one-way road illegally,traffic issues
Group of neighbors arguing loudly every evening,Neighbor / Community Issues
Neighbor playing loud TV throughout the night,Neighbor / Community Issues
Truck blocking road due to mechanical failure,traffic issues
Neighbor interfering with neighborhood committee decisions,Neighbor / Community Issues
Dirty surroundings due to improper cleaning,Public Nuisance / Cleanliness
Car parked near traffic light causing obstruction,traffic issues
Waste causing blockage in drainage system,Public Nuisance / Cleanliness
Illegal dumping happening in empty land,Public Nuisance / Cleanliness
Motorbike riding on wrong side of road,traffic issues
Vehicle parked obstructing traffic flow,traffic issues
Truck reversing without signal causing danger,traffic issues
Driver speeding in rain conditions,traffic issues
Neighbor not controlling aggressive dogs roaming outside,Neighbor / Community Issues
Driver ignoring traffic lights at junction,traffic issues
Minor disputes between residents,Neighbor / Community Issues
Someone is dumping garbage behind our house every night,Public Nuisance / Cleanliness
Vehicle reversing without warning,traffic issues
Car parked near curve causing visibility issue,traffic issues
Dispute over shared parking space in residential area,Neighbor / Community Issues
My neighbor is playing loud music late at night,Neighbor / Community Issues
